M,p0_p,rho0_rho,T0_T,A_Astar
0,1,1,1,Inf
0.002,1.0000028,1.000002,1.0000008,289.3525463
0.004,1.0000112,1.000008,1.0000032,144.6773148
0.006,1.0000252,1.000018,1.0000072,96.45270063
0.008,1.000044801,1.000032,1.0000128,72.34074078
0.01,1.000070002,1.000050001,1.00002,57.87384266
0.012,1.000100804,1.000072002,1.0000288,48.22947543
0.014,1.000137207,1.000098003,1.0000392,41.34084014
0.016,1.000179211,1.000128005,1.0000512,36.17453732
0.018,1.000226818,1.000162008,1.0000648,32.15645617
0.02,1.000280028,1.000200012,1.00008,28.94213019
0.022,1.000338841,1.000242018,1.0000968,26.31235343
0.024,1.000403258,1.000288025,1.0001152,24.12098861
0.026,1.00047328,1.000338034,1.0001352,22.26686376
0.028,1.000548908,1.000392046,1.0001568,20.67771316
0.03,1.000630142,1.000450061,1.00018,19.300542
0.032,1.000716984,1.000512079,1.0002048,18.09560413
0.034,1.000809434,1.0005781,1.0002312,17.03250545
0.036,1.000907494,1.000648126,1.0002592,16.08760612
0.038,1.001011165,1.000722156,1.0002888,15.24224309
0.04,1.001120448,1.000800192,1.00032,14.48148593
0.042,1.001235345,1.000882233,1.0003528,13.79324809
0.044,1.001355856,1.000968281,1.0003872,13.1676406
0.046,1.001481984,1.001058336,1.0004232,12.59649428
0.048,1.001613729,1.001152398,1.0004608,12.07300151
0.05,1.001751094,1.001250469,1.0005,11.59144387
0.052,1.00189408,1.001352548,1.0005408,11.1469827
0.054,1.002042688,1.001458638,1.0005832,10.73549619
0.056,1.002196922,1.001568738,1.0006272,10.35345135
0.058,1.002356781,1.001682849,1.0006728,9.997802505
0.06,1.002522269,1.001800972,1.00072,9.665910065
0.062,1.002693387,1.001923108,1.0007688,9.355475037
0.064,1.002870137,1.002049258,1.0008192,9.064485802
0.066,1.003052522,1.002179423,1.0008712,8.791174572
0.068,1.003240543,1.002313604,1.0009248,8.533981537
0.07,1.003434204,1.002451801,1.00098,8.29152515
0.072,1.003633505,1.002594016,1.0010368,8.062577369
0.074,1.003838451,1.002740249,1.0010952,7.846042916
0.076,1.004049042,1.002890503,1.0011552,7.640941802
0.078,1.004265282,1.003044777,1.0012168,7.446394554
0.08,1.004487173,1.003203073,1.00128,7.261609645
0.082,1.004714717,1.003365392,1.0013448,7.085872769
0.084,1.004947919,1.003531735,1.0014112,6.918537652
0.086,1.00518678,1.003702104,1.0014792,6.759018137
0.088,1.005431303,1.003876499,1.0015488,6.606781356
0.09,1.005681491,1.004054922,1.00162,6.461341805
0.092,1.005937347,1.004237374,1.0016928,6.322256199
0.094,1.006198875,1.004423857,1.0017672,6.189118982
0.096,1.006466077,1.004614372,1.0018432,6.061558391
0.098,1.006738957,1.00480892,1.0019208,5.939233014
0.1,1.007017518,1.005007502,1.002,5.82182875
0.102,1.007301762,1.005210121,1.0020808,5.709056135
0.104,1.007591695,1.005416777,1.0021632,5.600647972
0.106,1.007887318,1.005627472,1.0022472,5.49635723
0.108,1.008188636,1.005842208,1.0023328,5.395955175
0.11,1.008495653,1.006060985,1.00242,5.299229711
0.112,1.008808371,1.006283806,1.0025088,5.205983889
0.114,1.009126795,1.006510673,1.0025992,5.116034586
0.116,1.009450929,1.006741586,1.0026912,5.029211302
0.118,1.009780776,1.006976548,1.0027848,4.945355103
0.12,1.01011634,1.007215559,1.00288,4.864317646
0.122,1.010457626,1.007458623,1.0029768,4.785960318
0.124,1.010804637,1.007705741,1.0030752,4.710153448
0.126,1.011157378,1.007956914,1.0031752,4.636775599
0.128,1.011515853,1.008212144,1.0032768,4.565712924
0.13,1.011880066,1.008471433,1.00338,4.496858582
0.132,1.012250022,1.008734783,1.0034848,4.430112206
0.134,1.012625724,1.009002196,1.0035912,4.365379424
0.136,1.013007179,1.009273673,1.0036992,4.302571414
0.138,1.013394389,1.009549218,1.0038088,4.241604503
0.14,1.01378736,1.009828831,1.00392,4.182399799
0.142,1.014186096,1.010112515,1.0040328,4.124882857
0.144,1.014590603,1.010400271,1.0041472,4.068983367
0.146,1.015000885,1.010692102,1.0042632,4.01463487
0.148,1.015416946,1.01098801,1.0043808,3.961774502
0.15,1.015838793,1.011287997,1.0045,3.910342751
0.152,1.01626643,1.011592065,1.0046208,3.860283238
0.154,1.016699862,1.011900217,1.0047432,3.81154251
